codigo,nome,cod_OMM,inicio_operacao,lat,lon,alt,summer_offset,utc_offset,time_zone_id,time_zone_name
A024,Alto Paraíso de Goiás-A024,86691.0,02/06/2007,-14.133074,-47.523258,1265,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A013,Aragarças-A013,86709.0,13/07/2007,-15.902658,-52.245172,327,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A023,Caiapônia-A023,86730.0,21/05/2007,-16.966841,-51.817567,740,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A034,Catalão-A034,86777.0,31/01/2008,-18.154779,-47.927614,901,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A036,Cristalina-A036,86737.0,13/12/2007,-16.784896,-47.612966,1211,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A046,Gama (Ponte Alta)-A046,86711.0,01/10/2014,-15.935139,-48.137377,990,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A022,Goianésia-A022,86713.0,02/06/2007,-15.220199,-48.990107,667,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A002,Goiânia-A002,86734.0,30/05/2001,-16.642841,-49.220222,727,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A014,Goiás-A014,86712.0,16/07/2007,-15.939729,-50.141433,513,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A028,Iporá-A028,86731.0,24/06/2013,-16.423059,-51.148801,610,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A015,Itapaci-A015,86689.0,03/02/2007,-14.979792,-49.539977,551,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A035,Itumbiara-A035,86774.0,02/11/2007,-18.409761,-49.192061,491,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A016,Jataí-A016,86752.0,24/05/2007,-17.923622,-51.717467,670,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A012,Luziânia-A012,86736.0,21/10/2006,-16.260542,-47.966962,1001,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A026,Mineiros-A026,86751.0,23/10/2007,-17.569319,-52.596483,713,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A032,Monte Alegre de Goiás-A032,86670.0,06/06/2007,-13.253521,-46.890326,551,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A003,Morrinhos-A003,86755.0,30/05/2001,-17.745066,-49.101698,751,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A004,Niquelândia-A004,86690.0,01/06/2001,-14.469358,-48.485756,664,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A027,Paraúna-A027,86732.0,30/03/2008,-16.962536,-50.42545,679,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A033,Pires do Rio-A033,86756.0,12/10/2007,-17.304153,-48.284131,757,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A017,Posse-A017,86692.0,18/04/2007,-14.08921,-46.366497,830,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A025,Rio Verde-A025,86753.0,17/05/2007,-17.785303,-50.964869,780,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A011,São Simão-A011,86773.0,14/07/2006,-18.969142,-50.633449,492,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A037,Silvânia-A037,86735.0,08/10/2010,-16.679786,-48.618171,952,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A223,Alto Parnaíba-A223,81985.0,03/06/2008,-9.108199,-45.932016,284,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A220,Bacabal-A220,81790.0,09/07/2008,-4.243056,-44.794993,22,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A204,Balsas-A204,81903.0,26/10/2007,-7.455609,-46.027546,271,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A221,Barra do Corda-A221,81825.0,06/03/2008,-5.506782,-45.237053,154,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A238,Buriticupu-A238,81788.0,11/09/2008,-4.320597,-46.449503,175,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A205,Carolina-A205,81901.0,04/12/2007,-7.337269,-47.459839,183,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A237,Caxias-A237,81792.0,13/07/2008,-4.821352,-43.343659,85,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A206,Chapadinha-A206,81749.0,17/09/2008,-3.742674,-43.352084,104,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A222,Colinas-A222,81866.0,03/06/2008,-6.033167,-44.233402,175,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A224,Estreito-A224,81863.0,27/02/2008,-6.653272,-47.418241,183,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A218,Farol Preguiças-A218,81717.0,22/11/2008,-2.592341,-42.707553,5,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A217,Farol Santana-A217,81716.0,28/11/2008,-2.270811,-43.624043,10,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
